ax,ay,az,gx,gy,gz,temp,hum,pres,class
487234.0,-199921.0,9999688.0,-532.0,-3728.0,-2663.0,20280000.0,56737000.0,100928000.0,0
499206.0,-167599.0,9994899.0,0.0,-5326.0,-1597.0,20280000.0,56737000.0,100928000.0,0
494417.0,-172387.0,9991308.0,1065.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
505191.0,-169993.0,9997294.0,532.0,-3728.0,-3195.0,20280000.0,56737000.0,100928000.0,0
509980.0,-172387.0,10005674.0,-1597.0,-3728.0,-3195.0,20280000.0,56737000.0,100928000.0,0
492023.0,-190344.0,10023631.0,-1065.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
496812.0,-180767.0,9998491.0,532.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
488432.0,-162810.0,9996096.0,-532.0,-3728.0,-2663.0,20280000.0,56737000.0,100928000.0,0
487234.0,-168796.0,9997294.0,-532.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
489629.0,-196330.0,10011659.0,-1597.0,-6391.0,-3728.0,20280000.0,56737000.0,100928000.0,0
511177.0,-204710.0,10006871.0,-1065.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
499206.0,-179570.0,10012856.0,-532.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
481249.0,-154430.0,9988914.0,-532.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
486037.0,-168796.0,10006871.0,-1065.0,-4793.0,-2130.0,20280000.0,56737000.0,100928000.0,0
502797.0,-181964.0,10027222.0,0.0,-5326.0,-3195.0,20280000.0,56737000.0,100928000.0,0
503994.0,-195133.0,10000885.0,532.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
495614.0,-168796.0,10016448.0,0.0,-3728.0,-3195.0,20280000.0,56737000.0,100928000.0,0
490826.0,-153233.0,9999688.0,-532.0,-4261.0,-3195.0,20280000.0,56737000.0,100928000.0,0
499206.0,-189147.0,9979337.0,-532.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
493220.0,-186753.0,10005674.0,-532.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
494417.0,-168796.0,10000885.0,0.0,-3728.0,-3195.0,20280000.0,56737000.0,100928000.0,0
500403.0,-171190.0,9986519.0,0.0,-3728.0,-3728.0,20280000.0,56737000.0,100928000.0,0
500403.0,-191541.0,9992505.0,-532.0,-4261.0,-2130.0,20280000.0,56737000.0,100928000.0,0
512374.0,-202316.0,9992505.0,-1065.0,-5326.0,-1597.0,20280000.0,56737000.0,100928000.0,0
494417.0,-179570.0,9998491.0,0.0,-4793.0,-3195.0,20280000.0,56737000.0,100928000.0,0
481249.0,-156824.0,10023631.0,0.0,-5326.0,-2663.0,20280000.0,56737000.0,100928000.0,0
496812.0,-179570.0,10010462.0,-532.0,-4261.0,-3728.0,20280000.0,56737000.0,100928000.0,0
503994.0,-195133.0,9998491.0,-532.0,-3728.0,-2663.0,20280000.0,56737000.0,100928000.0,0
499206.0,-172387.0,10010462.0,-532.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
486037.0,-148445.0,10004476.0,0.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
496812.0,-171190.0,9987717.0,0.0,-6391.0,-1597.0,20280000.0,56737000.0,100928000.0,0
503994.0,-198724.0,10011659.0,-1065.0,-5859.0,-1597.0,20280000.0,56737000.0,100928000.0,0
496812.0,-190344.0,9991308.0,-1065.0,-3728.0,-2663.0,20280000.0,56737000.0,100928000.0,0
486037.0,-161613.0,10014054.0,0.0,-4261.0,-2663.0,20280000.0,56737000.0,100928000.0,0
496812.0,-166402.0,10011659.0,-532.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
498009.0,-196330.0,10003279.0,-1597.0,-6391.0,-3195.0,20280000.0,56737000.0,100928000.0,0
489629.0,-190344.0,10000885.0,-1065.0,-3728.0,-3728.0,20280000.0,56737000.0,100928000.0,0
496812.0,-174782.0,10017645.0,-1065.0,-3195.0,-2663.0,20280000.0,56737000.0,100928000.0,0
501600.0,-173584.0,10032011.0,0.0,-6391.0,-2130.0,20280000.0,56737000.0,100928000.0,0
490826.0,-172387.0,10024828.0,-1065.0,-5859.0,-3195.0,20280000.0,56737000.0,100928000.0,0
492023.0,-190344.0,10010462.0,-532.0,-4793.0,-2663.0,20280000.0,56737000.0,100928000.0,0
488432.0,-179570.0,10002082.0,-532.0,-5859.0,-3195.0,20280000.0,56737000.0,100928000.0,0
499206.0,-168796.0,9993702.0,532.0,-5326.0,-3195.0,20290000.0,56755000.0,100930000.0,0
489629.0,-177176.0,10006871.0,1065.0,-4793.0,-2663.0,20290000.0,56755000.0,100930000.0,0
489629.0,-183162.0,10017645.0,532.0,-5859.0,-3728.0,20290000.0,56755000.0,100930000.0,0
