acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,class
-502,3425,2791,-9894,4968,-12356,3
1284,3793,2237,-7838,4700,-10263,3
2498,3544,2185,-5830,4823,-7664,3
3173,2944,3821,-4207,5482,-5388,3
3332,3639,6760,-2598,6116,-4033,3
3749,4588,9985,-1627,6311,-3316,3
3408,5691,12563,-1163,6104,-2825,3
2130,6196,14765,-777,5649,-2416,3
808,5534,16336,-546,4897,-1601,3
-106,4300,16782,-266,3899,-305,3
-548,2630,16243,104,2829,854,3
-409,1589,15626,239,1927,1501,3
83,1662,15660,67,1301,1784,3
751,2130,16093,-46,822,1855,3
1632,2209,16288,102,401,1787,3
2497,2084,15712,491,115,1595,3
3092,2334,14650,879,-23,1294,3
3386,2676,13544,835,-189,1088,3
3691,2470,12684,389,-462,843,3
3980,1836,11846,-134,-731,508,3
3964,1618,11147,-563,-881,245,3
4028,1747,10854,-796,-910,177,3
4012,1862,10776,-805,-918,276,3
4106,1950,10587,-682,-1006,514,3
4406,1868,10095,-582,-1163,814,3
4783,1563,9446,-616,-1312,1017,3
5196,1004,8834,-746,-1364,1031,3
5567,356,8378,-851,-1287,776,3
5701,82,8016,-941,-1130,348,3
5651,256,7834,-1082,-955,-78,3
5579,695,7825,-1157,-765,-418,3
5397,1259,7852,-1153,-614,-523,3
5427,1470,7869,-1161,-588,-409,3
5596,1297,7701,-1086,-608,-180,3
5673,1051,7452,-890,-575,46,3
5766,755,7277,-718,-506,202,3
5813,407,7259,-649,-458,284,3
5769,44,7297,-531,-379,266,3
5631,-43,7409,-362,-260,198,3
5615,-152,7579,-324,-186,150,3
5651,-503,7763,-380,-144,62,3
5637,-588,7927,-388,-92,-49,3
5585,-311,8072,-333,-50,-84,3
5609,-110,8205,-305,-64,-19,3
5609,-110,8205,-305,-64,-19,3
5670,15,8132,-282,-111,117,3
5721,-1,7892,-223,-138,264,3
5773,-203,7655,-161,-129,351,3
5748,-398,7546,-156,-120,377,3
5722,-591,7598,-147,-101,339,3
5686,-741,7679,-128,-87,245,3
5728,-768,7774,-124,-77,158,3
5795,-781,7884,-71,-40,78,3
5754,-615,7928,-6,8,-5,3
5735,-413,7927,-47,4,-36,3
5742,-311,7899,-108,-22,-26,3
5710,-316,7858,-108,-29,-4,3
5730,-441,7776,-94,-19,-6,3
5681,-539,7738,-101,-22,-48,3
5656,-687,7849,-115,-26,-102,3
5664,-802,8056,-80,-5,-170,3
5591,-656,8197,22,41,-214,3
5584,-470,8263,101,71,-212,3
